Customenumber,Organisationsnummer
6430540,5562208214
6430342,5564722089
6431183,5564006939
6630156,5565935037
6430623,5564279585
6230189,5564545548
6431035,5507268505
6630263,5564935574
6430144,5565708236
6530588,5562067222
6431050,5564676764
6630420,7004308537
6430607,5566125034
6030209,5565734851
6630123,5566141056
6030191,5566194568
6431381,5564006954
6430615,5567108229
6330351,5566700372
6359640,5564934486
6330864,5562923861
6330625,5563881860
6330344,7210028218
6330286,5568418528
6330112,5562195569
6354948,5564171261
6331060,2403088236
6360002,559017-2465
6357099,5562764216
6350912,7696031009
6330658,5562002286
6330419,5564964624
6331573,5565210761
6331946,5566348990
6330450,5561708941
6330054,5561736827
6331979,6308138210
6359731,5565663662
6330955,5567783187
6330229,5564910171
6650018,7696003537
6356976,5562085513
6365480,5561750901
6331375,5567252167
6630438,4503318521
6630701,5562434745
6630727,6604168549
6630453,6809277202
6330575,5565865887
6330336,5566073515
6330328,5566414792
6930861,5566690508
6858146,0
6355218,5566777545
6459515,5566796107
6530224,5566848098
6430573,5566876289
6630396,5564256898
6359749,5565663662
6330732,5566216031
6354963,5567184501
6430565,5567294300
6230296,7696211452
6850343,5566651203
6830582,5567322382
6630628,5567594808
6730196,5567530422
6950128,5567234421
7030190,5566811328
6354930,5567593859
6630065,5563324796
6331045,5566939046
6930135,5567772982
6330468,5567828792
6630180,5567836803
6750186,5567255244
5630249,5567836845
6330302,5563468064
6750193,5566839873
18388,5567633259
4430096,9169114411
4230330,5562973833
4430310,6408241617
4330171,5565024089
4430401,5566063318
4430641,5612216407
4198701,5564994001
4198826,5561580837
16235,5567633242
5556790,5565662037
5558200,5565131132
5558051,5563037950
5450697,5560079104
5430053,5565198453
5258066,5560236845
5231121,5565939211
5230370,5566458310
5857230,5560770512
5565031,5566180633
5430061,5566913686
3269,5567295067
5558101,5566690573
5231105,5566773767
5558226,8844005960
5558150,5561397851
5230818,5566876602
5230685,5566286844
5330220,5567922355
5558085,5566774773
6430045,5567632590
5130463,5563797488
0255653,5561256651
0456418,5562597046
5630835,5564338399
0231829,5562439819
5630611,5564318532
0458216,5568512023
0471821,5563956381
0231803,5563216562
5630389,5567494033
0635144,5567689327
5630629,5564318532
0231639,5565909487
4558243,5566654280
4658159,9696737932
4530283,5561450916
5130240,5565130738
5130158,5564434586
5130133,5565952743
5130141,5565130738
0736694,5566107172
5950443,5566971668
5831656,5561935304
5959580,5560762956
5830344,5567633275
6130777,5566858907
5959648,5566986260
5931795,5565696746
5830088,5566323753
5930169,5561714063
5930367,5565212627
5831029,5561431361
5930623,5563152957
5830120,556455-9499
5930276,9697164524
5930235,5566255872
6030241,5564206729
6130181,5564501103
6330690,5565899332
5930078,5566390026
6130041,5561831925
5930474,5566480926
5930631,5566108303
5630231,5565549911
6130140,5566780952
5630330,5565678561
5630926,5564933322
5758263,5563816213
5630348,5566277520
5730148,5566310149
6130074,5565457420
5730353,5567953202
5750030,5565939229
5959754,5566858931
5730270,5566817655
6130256,5567639694
5730783,5566131032
5569546,5566611652
2232916,5565593885
6250182,5564402427
4358263,9168978139
3692589,5562684471
4250478,5566251012
3430402,5566155494
2052116,5565202982
1849645,5562148253
1849553,5567469340
1849207,5561787606
1849785,5564728482
1355189,5561612614
1849496,5567328959
2238657,5565476255
1343649,5561725630
2051530,5565202982
1159854,556204-2217
1849892,5561972182
1343771,5565322640
1343656,5566116926
1142082,5563810232
6030027,5561138826
6230544,5565431052
5569694,5565882700
6330039,5561138826
5830062,5561138826
5930052,5561138826
5730312,5561138826
5230131,5561138826
5230578,5561138826
5858295,5561138826
5930045,5567331235
6230015,5567773972
5230115,5561138826
5530027,5561138826
5250541,5566764543
0457267,5560305921
5657705,5560305921
5257522,5560305921
5557475,5560305921
5457395,5560305921
5457353,5560305921
5257811,5560305921
5557251,5560305921
0161877,5560305921
0457200,5560305921
0557256,5560305921
4769576,5560305921
5457205,5560305921
0757492,5560305921
0757526,5560305921
4857488,5560305921
5257225,5560305921
5257621,5563096287
5557418,5560305921
5457221,5560305921
5457213,5560305921
5557244,5560305921
12555,5565972451
1530117,5568205180
12662,5560901968
6957377,7970000944
5770723,5560305921
7057342,7164658770
2136083,7340001325
0162883,7152000688
2436087,7382002850
1936020,7328000786
5257563,7832000132
5557384,7844001300
5657556,7850001517
6457436,7940001162
6857502,7164658770
6857601,7970000944
7057417,7164658770
0657247,5560305921
5657770,7850001517
5657473,7850001541
1836014,7328000786
1836022,7328000786
5357330,5560305921
5557392,7844001300
6857478,7970000944
7057375,7164658770
7057433,7164658770
